id,name,emoji,slug,fee,seasonal,season,season_emoji,h1,h2,h3,h4,h5,h6,h7,h8,h9,discount_start,url_ru,url_en,url_az
Alora,Alora,,Alora,50,yes,high,🌞,250,200,200,200,200,150,150,150,150,2,/ru/yachts/alora,/en/yachts/alora,/az/yachts/alora
Alora,Alora,,Aora,50,yes,low,🍂,200,150,150,150,150,100,100,100,100,2,/ru/yachts/alora,/en/yachts/alora,/az/yachts/alora
Caspian,Caspian,,Caspian,50,no,,,500,250,250,150,150,,,,,2,/ru/yachts/caspian,/en/yachts/caspian,/az/yachts/caspian
Amina,Amina,,Amina,,yes,high,🌞,770,580,450,350,300,350,0,0,0,2,/ru/yachts/amina,/en/yachts/amina,/az/yachts/amina
Amina,Amina,,Amina,,yes,low,🍂,654,515,281,187,233,170,0,0,0,2,/ru/yachts/amina,/en/yachts/amina,/az/yachts/amina
Nemo,Nemo,,nemo,,yes,high,🌞,300,190,170,110,110,165,0,0,0,2,/ru/yachts/nemo,/en/yachts/nemo,/az/yachts/nemo
Nemo,Nemo,,nemo,,yes,low,🍂,240,150,120,85,85,130,0,0,0,2,/ru/yachts/nemo,/en/yachts/nemo,/az/yachts/nemo
Seaesta,Seaesta,,seaesta,,yes,high,🌞,700,650,300,100,300,200,0,0,0,2,/ru/yachts/seaesta,/en/yachts/seaesta,/az/yachts/seaesta
Seaesta,Seaesta,,seaesta,,yes,low,🍂,595,470,255,170,210,340,0,0,0,2,/ru/yachts/seaesta,/en/yachts/seaesta,/az/yachts/seaesta
Lomac,Lomac,,lomac,,yes,high,🌞,340,200,180,110,100,170,0,0,0,2,/ru/yachts/lomac,/en/yachts/lomac,/az/yachts/lomac
Lomac,Lomac,,lomac,,yes,low,🍂,220,120,130,80,90,90,0,0,0,2,/ru/yachts/lomac,/en/yachts/lomac,/az/yachts/lomac
